Português,Inglês,Italiano,Espanhol,Alemão,Francês,Mandarim
Você pode compartilhar sua tela?,Can you share your screen?,Puoi condividere il tuo schermo?,¿Puedes compartir tu pantalla?,Kannst du deinen Bildschirm teilen?,Pouvez-vous partager votre écran?,你能分享你的屏幕吗？
Vamos fazer uma pausa rápida?,Shall we take a quick break?,Facciamo una breve pausa?,¿Hacemos una pausa rápida?,Machen wir eine kurze Pause?,Faisons une petite pause?,我们可以稍作休息吗？
Todos estão prontos para começar?,Is everyone ready to start?,Tutti sono pronti per iniziare?,¿Todos están listos para comenzar?,Ist jeder bereit zu beginnen?,Tout le monde est prêt à commencer?,大家准备好开始了吗？
"Por favor, mantenha o microfone desligado.",Please keep your microphone muted.,"Per favore, tieni il microfono spento.","Por favor, mantén el micrófono apagado.",Bitte halte dein Mikrofon stumm.,Veuillez garder votre micro coupé.,请保持静音。
Alguém tem alguma pergunta?,Does anyone have any questions?,Qualcuno ha domande?,¿Alguien tiene alguna pregunta?,Hat jemand Fragen?,Quelqu'un a-t-il des questions?,有人有任何问题吗？
Vamos fazer um brainstorming agora?,Let's do some brainstorming now?,Facciamo un brainstorming ora?,¿Hacemos una lluvia de ideas ahora?,Lass uns jetzt ein Brainstorming machen?,Faisons un brainstorming maintenant?,我们现在进行头脑风暴吗？
É importante ouvir todas as opiniões.,It's important to hear all opinions.,È importante ascoltare tutte le opinioni.,Es importante escuchar todas las opiniones.,"Es ist wichtig, alle Meinungen zu hören.",Il est important d'écouter toutes les opinions.,听取所有意见很重要。
Podemos voltar ao tópico anterior?,Can we return to the previous topic?,Possiamo tornare al punto precedente?,¿Podemos volver al tema anterior?,Können wir zum vorherigen Thema zurückkehren?,Pouvons-nous revenir au sujet précédent?,我们可以回到上一个话题吗？
O que você sugere como próximo passo?,What do you suggest as the next step?,Cosa suggerisci come prossimo passo?,¿Qué sugieres como próximo paso?,Was schlägst du als nächsten Schritt vor?,Que suggérez-vous comme prochaine étape?,你建议下一步是什么？
Agradeço a todos pela participação!,Thank you all for your participation!,Grazie a tutti per la partecipazione!,¡Gracias a todos por su participación!,Vielen Dank an alle für die Teilnahme!,Merci à tous pour votre participation!,感谢大家的参与！
Precisamos melhorar nossa estratégia de marketing.,We need to improve our marketing strategy.,Dobbiamo migliorare la nostra strategia di marketing.,Necesitamos mejorar nuestra estrategia de marketing.,Wir müssen unsere Marketingstrategie verbessern.,Nous devons améliorer notre stratégie de marketing.,我们需要改进我们的营销策略。
Como podemos alcançar mais clientes?,How can we reach more customers?,Come possiamo raggiungere più clienti?,¿Cómo podemos llegar a más clientes?,Wie können wir mehr Kunden erreichen?,Comment pouvons-nous atteindre plus de clients?,我们如何接触更多客户？
O feedback dos clientes é essencial.,Customer feedback is essential.,Il feedback dei clienti è essenziale.,La retroalimentación de los clientes es esencial.,Kundenfeedback ist essenziell.,Les retours des clients sont essentiels.,客户反馈至关重要。
Estamos lançando um novo produto.,We are launching a new product.,Stiamo lanciando un nuovo prodotto.,Estamos lanzando un nuevo producto.,Wir führen ein neues Produkt ein.,Nous lançons un nouveau produit.,我们正在推出新产品。
Qual é o nosso público-alvo?,Who is our target audience?,Chi è il nostro target di riferimento?,¿Quién es nuestro público objetivo?,Wer ist unsere Zielgruppe?,Quel est notre public cible?,我们的目标客户是谁？
Temos que analisar a concorrência.,We need to analyze the competition.,Dobbiamo analizzare la concorrenza.,Necesitamos analizar la competencia.,Wir müssen die Konkurrenz analysieren.,Nous devons analyser la concurrence.,我们需要分析竞争对手。
O preço precisa ser competitivo.,The price needs to be competitive.,Il prezzo deve essere competitivo.,El precio debe ser competitivo.,Der Preis muss wettbewerbsfähig sein.,Le prix doit être compétitif.,价格需要具有竞争力。
Vamos criar uma campanha publicitária.,Let's create an advertising campaign.,Creiamo una campagna pubblicitaria.,Creemos una campaña publicitaria.,Lass uns eine Werbekampagne erstellen.,Créons une campagne publicitaire.,让我们创建一个广告活动。
Precisamos de mais leads qualificados.,We need more qualified leads.,Abbiamo bisogno di più contatti qualificati.,Necesitamos más clientes potenciales calificados.,Wir brauchen mehr qualifizierte Leads.,Nous avons besoin de plus de prospects qualifiés.,我们需要更多的合格潜在客户。
A satisfação do cliente é nossa prioridade.,Customer satisfaction is our priority.,La soddisfazione del cliente è la nostra priorità.,La satisfacción del cliente es nuestra prioridad.,Die Kundenzufriedenheit ist unsere Priorität.,La satisfaction du client est notre priorité.,客户满意是我们的首要任务。
