Português,Inglês,Italiano,Espanhol,Alemão,Francês,Mandarim
Como podemos medir nosso desempenho?,How can we measure our performance?,Come possiamo misurare le nostre prestazioni?,¿Cómo podemos medir nuestro desempeño?,Wie können wir unsere Leistung messen?,Comment pouvons-nous mesurer notre performance?,我们如何衡量我们的表现？
Precisamos definir indicadores-chave de desempenho (KPIs).,We need to define key performance indicators (KPIs).,Dobbiamo definire gli indicatori chiave di prestazione (KPI).,Necesitamos definir indicadores clave de rendimiento (KPI).,Wir müssen Schlüsselkennzahlen (KPIs) festlegen.,Nous devons définir des indicateurs clés de performance (KPI).,我们需要定义关键绩效指标（KPI）。
A avaliação regular da equipe é fundamental para o crescimento individual e coletivo.,Regular team evaluation is essential for individual and collective growth.,La valutazione regolare del team è fondamentale per la crescita individuale e collettiva.,La evaluación regular del equipo es fundamental para el crecimiento individual y colectivo.,Regelmäßige Teambewertungen sind entscheidend für das individuelle und kollektive Wachstum.,L'évaluation régulière de l'équipe est essentielle pour la croissance individuelle et collective.,团队的定期评估对于个人和集体的成长至关重要。
Vamos revisar as metas trimestrais agora?,Shall we review the quarterly goals now?,Rivediamo ora gli obiettivi trimestrali?,¿Revisamos ahora los objetivos trimestrales?,Sollen wir jetzt die Quartalsziele überprüfen?,Devons-nous revoir les objectifs trimestriels maintenant?,我们现在审查季度目标吗？
Quais áreas precisam de melhorias?,Which areas need improvement?,Quali aree necessitano di miglioramenti?,¿Qué áreas necesitan mejoras?,Welche Bereiche müssen verbessert werden?,Quelles sont les zones à améliorer?,哪些领域需要改进？
É hora de celebrar nossos sucessos e aprender com nossos erros!,It’s time to celebrate our successes and learn from our mistakes!,È ora di celebrare i nostri successi e imparare dai nostri errori!,¡Es hora de celebrar nuestros éxitos y aprender de nuestros errores!,"Es ist Zeit, unsere Erfolge zu feiern und aus unseren Fehlern zu lernen!",Il est temps de célébrer nos succès et d'apprendre de nos erreurs!,是时候庆祝我们的成功并从错误中学习了！
Estamos comprometidos em melhorar continuamente nosso desempenho operacional!,We are committed to continuously improving our operational performance!,Siamo impegnati a migliorare continuamente le nostre prestazioni operative!,Estamos comprometidos a mejorar continuamente nuestro desempeño operativo!,"Wir sind verpflichtet, unsere operative Leistung kontinuierlich zu verbessern!",Nous nous engageons à améliorer continuellement notre performance opérationnelle!,我们致力于不断提高我们的运营绩效！
O feedback construtivo ajuda no desenvolvimento profissional dos colaboradores!,Constructive feedback helps in employees' professional development!,Il feedback costruttivo aiuta nello sviluppo professionale dei dipendenti!,La retroalimentación constructiva ayuda en el desarrollo profesional de los empleados!,Konstruktives Feedback hilft bei der beruflichen Entwicklung der Mitarbeiter!,Le feedback constructif aide au développement professionnel des employés!,建设性的反馈有助于员工的职业发展！
Precisamos ajustar nossas estratégias com base nos resultados obtidos!,We need to adjust our strategies based on the results obtained!,Dobbiamo adeguare le nostre strategie in base ai risultati ottenuti!,Necesitamos ajustar nuestras estrategias con base en los resultados obtenidos!,Wir müssen unsere Strategien basierend auf den erzielten Ergebnissen anpassen!,Nous devons ajuster nos stratégies en fonction des résultats obtenus!,我们需要根据获得的结果调整我们的策略！
Vamos estabelecer um plano de ação para abordar as áreas problemáticas!,Let’s establish an action plan to address problem areas!,Stabiliamo un piano d'azione per affrontare le aree problematiche!,¡Establezcamos un plan de acción para abordar las áreas problemáticas!,"Lass uns einen Aktionsplan erstellen, um die Problemfelder anzugehen!",Établissons un plan d'action pour aborder les zones problématiques!,让我们制定一个行动计划来解决问题领域！
