Português,Inglês,Italiano,Espanhol,Alemão,Francês,Mandarim
Como está o fluxo de caixa?,How is the cash flow?,Come sta andando il flusso di cassa?,¿Cómo está el flujo de caja?,Wie ist der Cashflow?,Comment est le flux de trésorerie?,现金流情况如何？
Precisamos cortar custos.,We need to cut costs.,Dobbiamo tagliare i costi.,Necesitamos recortar costos.,Wir müssen Kosten senken.,Nous devons réduire les coûts.,我们需要削减成本。
O orçamento precisa ser aprovado.,The budget needs to be approved.,Il budget deve essere approvato.,El presupuesto debe ser aprobado.,Das Budget muss genehmigt werden.,Le budget doit être approuvé.,预算需要批准。
Estamos dentro do orçamento?,Are we within budget?,Siamo entro il budget?,¿Estamos dentro del presupuesto?,Sind wir im Budget?,Sommes-nous dans le budget?,我们在预算内吗？
Precisamos revisar as despesas.,We need to review the expenses.,Dobbiamo rivedere le spese.,Necesitamos revisar los gastos.,Wir müssen die Ausgaben überprüfen.,Nous devons examiner les dépenses.,我们需要审核支出。
Quais são as previsões financeiras?,What are the financial forecasts?,Quali sono le previsioni finanziarie?,¿Cuáles son las previsiones financieras?,Wie sind die Finanzprognosen?,Quelles sont les prévisions financières?,财务预测是什么？
Estamos investindo em novos projetos.,We are investing in new projects.,Stiamo investendo in nuovi progetti.,Estamos invirtiendo en nuevos proyectos.,Wir investieren in neue Projekte.,Nous investissons dans de nouveaux projets.,我们正在投资新项目。
Qual é o retorno sobre investimento?,What is the return on investment?,Qual è il ritorno sull'investimento?,¿Cuál es el retorno de la inversión?,Was ist die Kapitalrendite?,Quel est le retour sur investissement?,投资回报率是多少？
A contabilidade precisa ser atualizada.,The accounting needs to be updated.,La contabilità deve essere aggiornata.,La contabilidad debe ser actualizada.,Die Buchhaltung muss aktualisiert werden.,La comptabilité doit être mise à jour.,需要更新会计。
Precisamos de um relatório financeiro detalhado.,We need a detailed financial report.,Abbiamo bisogno di un rapporto finanziario dettagliato.,Necesitamos un informe financiero detallado.,Wir brauchen einen detaillierten Finanzbericht.,Nous avons besoin d'un rapport financier détaillé.,我们需要详细的财务报告。
Estamos buscando novas oportunidades de crescimento.,We are looking for new growth opportunities.,Stiamo cercando nuove opportunità di crescita.,Estamos buscando nuevas oportunidades de crecimiento.,Wir suchen nach neuen Wachstumschancen.,Nous recherchons de nouvelles opportunités de croissance.,我们正在寻找新的增长机会。
Precisamos expandir nossos serviços.,We need to expand our services.,Dobbiamo espandere i nostri servizi.,Necesitamos expandir nuestros servicios.,Wir müssen unsere Dienstleistungen erweitern.,Nous devons étendre nos services.,我们需要扩展我们的服务。
O desenvolvimento profissional é importante para nossa equipe.,Professional development is important for our team.,Lo sviluppo professionale è importante per il nostro team.,El desarrollo profesional es importante para nuestro equipo.,Berufliche Entwicklung ist wichtig für unser Team.,Le développement professionnel est important pour notre équipe.,职业发展对我们的团队很重要。
Estamos investindo em treinamento para os funcionários.,We are investing in employee training.,Stiamo investendo nella formazione dei dipendenti.,Estamos invirtiendo en la capacitación de los empleados.,Wir investieren in Mitarbeiterschulungen.,Nous investissons dans la formation des employés.,我们正在投资员工培训。
Como podemos melhorar nossa eficiência?,How can we improve our efficiency?,Come possiamo migliorare la nostra efficienza?,¿Cómo podemos mejorar nuestra eficiencia?,Wie können wir unsere Effizienz verbessern?,Comment pouvons-nous améliorer notre efficacité?,我们如何提高效率？
É hora de inovar e se adaptar às mudanças no mercado.,It’s time to innovate and adapt to market changes.,È il momento di innovare e adattarsi ai cambiamenti del mercato.,Es hora de innovar y adaptarse a los cambios del mercado.,"Es ist Zeit, Innovationen vorzunehmen und sich den Marktveränderungen anzupassen.",Il est temps d'innover et de s'adapter aux changements du marché.,是时候创新并适应市场变化了。
Estamos implementando novas tecnologias para otimizar processos.,We are implementing new technologies to optimize processes.,Stiamo implementando nuove tecnologie per ottimizzare i processi.,Estamos implementando nuevas tecnologías para optimizar procesos.,"Wir implementieren neue Technologien, um Prozesse zu optimieren.",Nous mettons en œuvre de nouvelles technologies pour optimiser les processus.,我们正在实施新技术以优化流程。
O feedback da equipe é fundamental para o sucesso do projeto.,Team feedback is essential for project success.,Il feedback del team è essenziale per il successo del progetto.,La retroalimentación del equipo es esencial para el éxito del proyecto.,Team-Feedback ist entscheidend für den Projekterfolg.,Le retour d'équipe est essentiel pour le succès du projet.,团队反馈对项目成功至关重要。
Precisamos estabelecer parcerias estratégicas.,We need to establish strategic partnerships.,Dobbiamo stabilire partnership strategiche.,Necesitamos establecer asociaciones estratégicas.,Wir müssen strategische Partnerschaften aufbauen.,Nous devons établir des partenariats stratégiques.,我们需要建立战略合作伙伴关系。
O crescimento sustentável deve ser nossa meta principal.,Sustainable growth should be our main goal.,La crescita sostenibile dovrebbe essere il nostro obiettivo principale.,El crecimiento sostenible debe ser nuestro objetivo principal.,Nachhaltiges Wachstum sollte unser Hauptziel sein.,La croissance durable devrait être notre objectif principal.,可持续增长应该是我们的主要目标。
